,,,,,,,,,
T,cp,h,s,PR,,,,,
210,1.006,-92.7,6.3468,0.3987,,,,,
215,1.006,-87.6,6.3705,0.433,,,,,
220,1.006,-82.6,6.3936,0.4693,,,,,
225,1.005,-77.6,6.4162,0.5077,,,,,
230,1.005,-72.5,6.4383,0.5483,,,,,
235,1.005,-67.5,6.4599,0.5912,,,,,
240,1.005,-62.5,6.4811,0.6364,,,,,
245,1.005,-57.5,6.5018,0.6841,,,,,
250,1.005,-52.4,6.5221,0.7342,,,,,
255,1.004,-47.4,6.542,0.7868,,,,,
260,1.004,-42.4,6.5615,0.8421,,,,,
265,1.004,-37.4,6.5806,0.9002,,,,,
270,1.004,-32.4,6.5994,0.961,,,,,
275,1.004,-27.3,6.6178,1.0247,,,,,
280,1.004,-22.3,6.6359,1.0914,,,,,
285,1.005,-17.3,6.6537,1.1611,,,,,
290,1.005,-12.3,6.6712,1.234,,,,,
295,1.005,-7.2,6.6883,1.31,,,,,
300,1.005,-2.2,6.7052,1.3894,,,,,
305,1.005,2.8,6.7219,1.4722,,,,,
310,1.005,7.8,6.7382,1.5585,,,,,
315,1.006,12.9,6.7543,1.6483,,,,,
320,1.006,17.9,6.7701,1.7418,,,,,
325,1.006,22.9,6.7857,1.839,,,,,
330,1.007,28,6.8011,1.9401,,,,,
335,1.007,33,6.8162,2.045,,,,,
340,1.007,38,6.8312,2.154,,,,,
345,1.008,43.1,6.8459,2.268,,,,,
350,1.008,48.1,6.8604,2.385,,,,,
355,1.009,53.1,6.8747,2.507,,,,,
360,1.009,58.2,6.8888,2.633,,,,,
365,1.01,63.2,6.9027,2.764,,,,,
370,1.01,68.3,6.9164,2.899,,,,,
375,1.011,73.3,6.93,3.04,,,,,
380,1.011,78.4,6.9434,3.185,,,,,
385,1.012,83.4,6.9566,3.335,,,,,
390,1.012,88.5,6.9697,3.49,,,,,
395,1.013,93.6,6.9826,3.651,,,,,
400,1.014,98.6,6.9953,3.816,,,,,
405,1.014,103.7,7.0079,3.987,,,,,
410,1.015,108.8,7.0204,4.164,,,,,
415,1.016,113.9,7.0327,4.347,,,,,
420,1.016,118.9,7.0448,4.535,,,,,
425,1.017,124,7.0569,4.729,,,,,
430,1.018,129.1,7.0688,4.929,,,,,
435,1.019,134.2,7.0806,5.135,,,,,
440,1.019,139.3,7.0922,5.348,,,,,
445,1.02,144.4,7.1037,5.567,,,,,
450,1.021,149.5,7.1151,5.792,,,,,
455,1.022,154.6,7.1264,6.025,,,,,
460,1.023,159.7,7.1376,6.264,,,,,
465,1.024,164.8,7.1486,6.51,,,,,
470,1.024,170,7.1596,6.763,,,,,
475,1.025,175.1,7.1704,7.023,,,,,
480,1.026,180.2,7.1812,7.291,,,,,
485,1.027,185.3,7.1918,7.566,,,,,
490,1.028,190.5,7.2024,7.849,,,,,
495,1.029,195.6,7.2128,8.14,,,,,
500,1.03,200.8,7.2232,8.439,,,,,
505,1.031,205.9,7.2334,8.745,,,,,
510,1.032,211.1,7.2436,9.06,,,,,
515,1.033,216.2,7.2536,9.384,,,,,
520,1.034,221.4,7.2636,9.716,,,,,
525,1.035,226.6,7.2735,10.057,,,,,
530,1.036,231.8,7.2833,10.407,,,,,
